Model,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,ACC@4@Top1,ACC@5@Top1,MAP@2,MAP@3,MAP@4,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10,Precision@3,Precision@5,Precision@10,Recall@3,Recall@5,Recall@10
ConLS,BenchLS,62.00,37.99,51.34,59.31,64.90,68.46,49.73,41.37,35.01,30.54,18.84,80.30,86.11,91.17,46.34,37.11,26.20,25.59,32.25,41.89
ConLS,NNSeval,41.00,26.77,34.30,45.18,50.20,52.71,31.69,27.31,23.23,20.30,12.53,62.34,69.87,81.58,32.91,27.02,19.51,18.80,23.80,32.08
ConLS,lex.mturk,80.60,43.80,56.39,65.40,71.20,76.60,65.45,55.45,48.04,42.52,27.59,94.60,98.60,100.00,60.16,49.89,36.94,21.32,27.51,37.15
