Model,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,ACC@4@Top1,ACC@5@Top1,MAP@2,MAP@3,MAP@4,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10,Precision@3,Precision@5,Precision@10,Recall@3,Recall@5,Recall@10
LSBERT,BenchLS,67.59,40.68,51.45,57.37,59.84,61.57,52.26,42.29,34.79,29.25,15.74,81.27,84.28,85.46,46.46,34.62,24.90,25.74,29.80,32.41
LSBERT,NNSeval,44.76,28.03,38.49,43.93,46.86,49.79,34.93,27.84,23.18,19.97,10.73,64.85,71.54,74.47,32.84,26.16,18.78,19.55,23.40,26.14
LSBERT,lex.mturk,84.80,44.00,54.80,60.40,61.80,62.80,67.05,54.41,45.83,39.01,21.29,93.20,95.00,95.80,58.03,45.25,33.43,20.52,24.61,27.52
